System,Baseline_Avg,Tool_Avg,Tool_Std,Improvement %,P-Value,Avg Tool Best Budget,Avg Baseline Best Budget
7z.csv,4708.21333,4638.54667,819.12777,1.48,0.0276,45.33,47.3
Apache.csv,31.05365,30.89588,0.15595,0.51,0.0039,53.77,56.9
LLVM.csv,58634.26667,55785.12667,1448.53032,4.86,0.0,49.87,47.77
PostgreSQL.csv,46043.10667,46017.74667,65.7151,0.06,0.1768,38.93,51.47
brotli.csv,1.48427,1.47933,0.02468,0.33,0.9184,61.6,44.53
spear.csv,0.00109,0.00106,0.00085,3.03,0.6139,55.47,59.6
storm.csv,1e-05,0.0,0.0,67.96,0.1469,47.33,46.3
x264.csv,22.65027,21.84833,0.41382,3.54,0.0,47.0,45.8
