fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,performance
0.0,1.0,0.0,0.0,1.0,256.0,32.0,1024.0,46191.2
0.0,1.0,0.0,0.0,0.0,64.0,8.0,4096.0,46264.8
0.0,1.0,1.0,0.0,0.0,64.0,8.0,1024.0,46317.8
0.0,1.0,1.0,0.0,0.0,256.0,2.0,256.0,46407.8
0.0,1.0,1.0,0.0,1.0,64.0,32.0,1024.0,46469.6
0.0,0.0,0.0,1.0,0.0,128.0,2.0,256.0,46486.8
0.0,0.0,0.0,1.0,1.0,64.0,32.0,4096.0,46546.8
0.0,0.0,1.0,1.0,1.0,64.0,2.0,4096.0,46572.8
0.0,1.0,1.0,1.0,1.0,256.0,2.0,256.0,46692.8
0.0,1.0,1.0,0.0,0.0,64.0,32.0,4096.0,46715.4
0.0,1.0,1.0,1.0,1.0,128.0,32.0,256.0,46742.0
0.0,1.0,1.0,1.0,1.0,64.0,8.0,4096.0,46753.4
0.0,0.0,0.0,0.0,1.0,256.0,2.0,4096.0,47094.8
1.0,1.0,0.0,0.0,1.0,256.0,2.0,4096.0,132262.2
1.0,0.0,0.0,1.0,1.0,64.0,2.0,1024.0,133912.8
1.0,1.0,1.0,0.0,0.0,128.0,32.0,256.0,134640.4
1.0,0.0,0.0,0.0,0.0,256.0,8.0,256.0,134915.4
1.0,0.0,1.0,0.0,0.0,256.0,2.0,1024.0,135993.4
1.0,0.0,1.0,1.0,1.0,256.0,8.0,256.0,136729.2
1.0,0.0,1.0,1.0,0.0,256.0,2.0,256.0,140950.6
0.0,1.0,0.0,0.0,1.0,256.0,32.0,1024.0,46191.2
0.0,1.0,1.0,0.0,1.0,256.0,2.0,4096.0,46381.4
0.0,1.0,0.0,0.0,1.0,128.0,32.0,4096.0,46213.6
0.0,1.0,0.0,0.0,0.0,256.0,32.0,1024.0,46094.8
0.0,1.0,0.0,0.0,0.0,128.0,32.0,1024.0,46341.0
1.0,1.0,0.0,0.0,0.0,64.0,32.0,1024.0,132129.6
0.0,1.0,0.0,1.0,0.0,256.0,32.0,1024.0,47549.4
0.0,1.0,0.0,0.0,0.0,256.0,8.0,1024.0,46097.6
0.0,1.0,0.0,0.0,0.0,256.0,32.0,1024.0,46094.8
0.0,1.0,0.0,1.0,0.0,256.0,32.0,256.0,46333.0
0.0,1.0,0.0,1.0,1.0,256.0,32.0,1024.0,46390.0
0.0,1.0,0.0,0.0,0.0,256.0,32.0,256.0,46178.0
0.0,1.0,0.0,0.0,0.0,128.0,32.0,1024.0,46341.0
1.0,1.0,0.0,0.0,1.0,64.0,2.0,256.0,134110.6
0.0,1.0,0.0,0.0,0.0,256.0,32.0,256.0,46178.0
0.0,1.0,0.0,1.0,0.0,256.0,32.0,1024.0,47549.4
0.0,1.0,0.0,0.0,0.0,128.0,32.0,1024.0,46341.0
0.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,46157.6
0.0,1.0,1.0,0.0,0.0,128.0,2.0,256.0,46183.8
0.0,0.0,1.0,0.0,0.0,128.0,8.0,4096.0,46163.2
0.0,0.0,1.0,0.0,0.0,128.0,8.0,1024.0,46245.0
0.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,46157.6
0.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,46157.6
0.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,46157.6
0.0,0.0,1.0,1.0,0.0,128.0,8.0,256.0,47257.2
0.0,1.0,1.0,0.0,0.0,64.0,2.0,4096.0,46357.8
1.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,128931.4
0.0,1.0,1.0,0.0,0.0,128.0,8.0,4096.0,46157.6
0.0,1.0,0.0,1.0,0.0,128.0,2.0,256.0,46584.8
0.0,0.0,0.0,1.0,0.0,128.0,8.0,256.0,46366.6
0.0,0.0,0.0,0.0,0.0,128.0,8.0,256.0,46204.0
0.0,0.0,0.0,0.0,0.0,128.0,8.0,256.0,46204.0
0.0,0.0,0.0,0.0,0.0,128.0,8.0,256.0,46204.0
0.0,0.0,0.0,0.0,0.0,128.0,8.0,256.0,46204.0
0.0,1.0,0.0,0.0,0.0,128.0,8.0,256.0,46318.0
0.0,0.0,1.0,0.0,0.0,64.0,8.0,256.0,46528.8
0.0,0.0,0.0,1.0,0.0,128.0,2.0,1024.0,46355.2
0.0,0.0,0.0,0.0,0.0,256.0,8.0,256.0,46305.6
0.0,0.0,0.0,0.0,0.0,128.0,8.0,4096.0,46245.8
1.0,1.0,1.0,0.0,1.0,128.0,8.0,256.0,128988.8
0.0,0.0,0.0,0.0,0.0,256.0,8.0,256.0,46305.6
1.0,0.0,1.0,0.0,1.0,64.0,2.0,4096.0,137289.0
0.0,0.0,0.0,0.0,1.0,256.0,32.0,4096.0,46070.8
0.0,0.0,1.0,1.0,1.0,256.0,32.0,4096.0,46299.2
0.0,0.0,0.0,0.0,1.0,256.0,32.0,4096.0,46070.8
1.0,0.0,0.0,0.0,1.0,256.0,32.0,256.0,135823.2
0.0,0.0,0.0,1.0,1.0,256.0,32.0,4096.0,46507.4
0.0,0.0,0.0,0.0,1.0,256.0,2.0,4096.0,47094.8
0.0,0.0,0.0,0.0,1.0,256.0,8.0,4096.0,46282.0
1.0,0.0,0.0,0.0,1.0,256.0,32.0,4096.0,129652.6
0.0,0.0,0.0,0.0,1.0,256.0,8.0,4096.0,46282.0
0.0,0.0,0.0,0.0,1.0,256.0,2.0,4096.0,47094.8
0.0,0.0,0.0,0.0,1.0,256.0,32.0,4096.0,46070.8
1.0,1.0,1.0,1.0,0.0,64.0,2.0,4096.0,130507.0
1.0,1.0,1.0,0.0,0.0,64.0,2.0,4096.0,135253.6
1.0,0.0,1.0,1.0,0.0,64.0,2.0,4096.0,140311.8
0.0,1.0,1.0,1.0,0.0,64.0,2.0,4096.0,46404.4
0.0,1.0,0.0,1.0,0.0,64.0,2.0,4096.0,46433.0
0.0,1.0,1.0,1.0,0.0,64.0,2.0,256.0,46507.8
0.0,1.0,1.0,1.0,0.0,64.0,2.0,1024.0,46505.8
0.0,1.0,1.0,1.0,0.0,64.0,2.0,4096.0,46404.4
0.0,1.0,1.0,1.0,0.0,128.0,2.0,4096.0,47187.0
0.0,1.0,1.0,1.0,0.0,64.0,32.0,256.0,46517.6
0.0,1.0,1.0,1.0,0.0,64.0,2.0,4096.0,46404.4
0.0,1.0,1.0,0.0,0.0,64.0,2.0,4096.0,46357.8
0.0,1.0,1.0,0.0,0.0,64.0,2.0,4096.0,46357.8
0.0,1.0,1.0,1.0,0.0,64.0,8.0,4096.0,46771.0
0.0,1.0,1.0,0.0,0.0,64.0,2.0,1024.0,46321.6
0.0,1.0,0.0,0.0,0.0,64.0,2.0,1024.0,46111.6
0.0,1.0,0.0,0.0,1.0,128.0,2.0,1024.0,46099.4
1.0,0.0,0.0,1.0,1.0,128.0,2.0,1024.0,136545.2
1.0,1.0,0.0,0.0,1.0,128.0,2.0,4096.0,133053.0
0.0,1.0,0.0,0.0,1.0,128.0,2.0,1024.0,46099.4
1.0,1.0,0.0,1.0,1.0,128.0,32.0,1024.0,129568.0
0.0,1.0,0.0,0.0,0.0,128.0,8.0,256.0,46318.0
1.0,1.0,0.0,0.0,1.0,128.0,32.0,1024.0,133874.4
0.0,1.0,0.0,0.0,1.0,128.0,32.0,4096.0,46213.6
1.0,1.0,0.0,0.0,1.0,128.0,2.0,1024.0,130383.4
0.0,0.0,0.0,0.0,1.0,128.0,2.0,1024.0,46113.2
0.0,1.0,0.0,0.0,1.0,128.0,2.0,4096.0,46277.6
0.0,0.0,1.0,0.0,1.0,256.0,2.0,4096.0,46301.0
